id,s_sum_t_mean,s_mean_t_mean,s_sum_t_sum,s_mean_t_sum
Djibouti__Dikhil,0.48148148148148145,0.48148148148148145,13.0,13.0
Eritrea__Maekel,0.9629629629629629,0.48148148148148145,26.0,13.0
Ethiopia__Amhara,0.9629629629629629,0.48148148148148145,26.0,13.0
Sudan__Al Qadarif,250.62962962962965,83.54320987654322,6767.0,2255.6666666666665
Sudan__Blue Nile,4.37037037037037,4.37037037037037,118.0,118.0
