timestamp,country,admin1,admin2,admin3,lat,lng,value,camp
1604448000000,Sudan,Al Qadarif,Al Galabat,El Mogran,13.737700462341309,36.43339920043945,0.0,Abderafi
1604448000000,Ethiopia,Amhara,Mirab Gojjam,Bahir Dar Zuria,11.600000381469727,37.38330078125,0.0,Bahir_Dar
